,uoCodigo,uoNome,uoSigla,programaDetalheId,programaCod,programaNome,programaDenominacao,dePublicoAlvo,deEixoAdministrativo,horizonteTemporal,dataInicio,dataFim,deTipoPrograma,justificativa,anoMonitoramento,quadrimestreMonitoramento,TipoDado,Ano,Quadrimestre
187,23011,Fundo Estadual de Combate e Erradicação da Pobreza de Rondônia,FECOEP/RO,1520,2087,PROGRAMA DE ENFRENTAMENTO À POBREZA,"O Fundo Estadual de Combate e Erradicação da Pobreza de Rondônia - FECOEP/RO, criado pela Lei Complementar nº 842 de 27 de novembro de 2015 e alterado pelas Leis Complementares nº 879/2016, 914/2016 e 1.016/2019, foi instituído para atender a população de Rondônia em situação de vulnerabilidade social, em especial aos em situação de pobreza e extrema pobreza, objetivando promover acesso aos serviços públicos essenciais para a superação dessas condições e melhoria da qualidade de vida dos rondonienses, através de programas e projetos que possuam finalidades compatíveis com as áreas previstas na legislação do Fundo, devidamente aprovados pelo Conselho Deliberativo do Fundo.","População rondoniense, em especial os em situação de pobreza e extrema pobreza",Cidadania,continuo,2024-01-01T00:00:00,,Finalístico,"A superação da situação de pobreza e extrema pobreza está diretamente ligada aos serviços públicos aos quais a população tem acesso, com a ampliação dos direitos sociais desde a promulgação da Constituição Federal de 1988, consequentemente ocorreu a necessidade do Estado em ampliar a gama de serviços prestados em todas as áreas de atuação, tanto em caráter de prevenção quanto de mitigação da situação atual, em especial no que se refere às áreas de assistência social, saúde, educação, segurança pública, cidadania, dentre outras. Considerando os índices de pessoas no Estado de Rondônia em situação de pobreza e extrema pobreza, faz-se necessária a adoção de políticas públicas efetivas para a diminuição desses índices e a consequente melhoria da qualidade de vida das pessoas atendidas. No bojo das políticas públicas que elevam o padrão de vida, destaca-se a oferta de programas, ações ou serviços que erradicam ou minimizam os efeitos nefastos da pobreza. 
Cabe gizar, embora a pobreza seja frequentemente associada à condição de privação de recursos monetários, é indispensável compreendê-la como fenômeno multifacetado e multidimensional (pobreza não monetária) que resulta na desproteção social do indivíduo. 
Uma das manifestações não monetárias da pobreza é insegurança alimentar e nutricional. O flagelo da fome está intimamente relacionado com sistemas de proteção social restritivos, nos quais há um comprometimento do amparo aos riscos inerentes à vida, tais como a perda do emprego, acometimento por doenças ou a incapacidade laboral. De modo geral, a exclusão do mercado de trabalho por quaisquer dos fatores anteriormente mencionados, seja pelas crises econômica ou decorrentes de pandemias como a de Covid-19, culminam em pobreza alimentar. Assim, o enfrentamento da pobreza, sob a ótica do presente programa orçamentário, reflete, sobretudo, a preocupação com os impactos da pobreza não monetária, em especial no enfrentamento das circunstâncias que geram insegurança alimentar e nutricional, sem, contudo, deixar de lado as ações e ofertas de serviços para mitigação das desvantagens sociais a que estão submetidos os indivíduos vivendo em situação de pobreza e extrema pobreza.",2024,1,Programa,2024,1
188,23012,Fundo Estadual de Assistência Social,Feas,1518,2168,GESTÃO ESTADUAL DO SISTEMA ÚNICO DA ASSISTÊNCIA SOCIAL - SUAS,"O acesso a Politica de Assistência Social, é um direito garantido pela Constituição Federal de 1988, e dever do poder público a sua disponilidade a quem dela necessitar. No Estado de Rondônia há 62 unidades de Centro de Referência de Assistência Social - CRAS destinado a oferta dos programas e serviços de Proteção Social Básica , os quais  têm como objetivo apoiar as famílias e os indivíduos na ampliação de sua proteção social, promovendo o acesso a direitos e contribuindo para a melhoria da sua qualidade de vida. Os serviços atendem o conjunto da população em situação de vulnerabilidade, incluindo pessoas inseridas no Cadastro Único, beneficiários do Programa Bolsa Família e do Benefício de Prestação Continuada (BPC).  O Estado possui ainda 20 Centros de Referencia Especializados da Assistência Social - CREAS que oferece atendimento socioassistencial às famílias e indivíduos que se encontram em situação de risco pessoal ou social por ameaça ou violação de direitos, cujos vínculos familiares e comunitários não foram rompidos e que demandam intervenções especializadas. Além dos CRAS e CREAS, ainda há as unidades de acolhimento institucional destinadas ao atendimento de pessoas em situação de vínculos famíliares rompidos ou fragilizados. 
Desta forma cabe aos entes federados a gestão compatilhada desta rede, em suas especificades, por meio de financiamento compartilhado, apoio técnico, supervisão e monitoramento e a formação continuada dos trabalhadores do SUAS. ",Rede Estadual do Suas,Cidadania,continuo,2024-01-01T00:00:00,,Finalístico,"A Assistência Socal é politica pública não contributiva, regida pela Lei 8.742/1993 e no Estado de Rondônia pela Lei Complementar nº 1.052/2019. Por meio da Norma Operacional Básica da Assistência Social – NOB/SUAS, fora criado o Sistema Único da Assistência Social – SUAS, tendo sua ultima atualização normativa no ano de 2012.
A gestão do Sistema Único de Assistência Social - SUAS é dever compartilhado por todos os entes da Federação. Aos Estados compete a busca contínua e permanente pelo aprimoramento da Gestão da Política de Assistência Social, por meio do planejamento, articulação, monitoramento e avaliação da oferta de serviços e programas federais executados pela rede municipal do SUAS e a execução estadual da educação permanente, vigilância socioassistencial, controle social concessão de benefícios eventuais, repasse financeiro fundo a fundo e a proteção social especial de alta complexidade por meio do acolhimento institucional de idosos.",2024,1,Programa,2024,1
189,23012,Fundo Estadual de Assistência Social,Feas,1519,2169,PRIMEIRA INFÂNCIA,"A  Primeira Infância, compreende a criança desde a sua concepção até os 6 anos de idade, com o recorte especial, para a faixa de 0 a 3 anos, chamada de primeirissima infância.  O Marco Legal da Primeira Infância de  8 de março de 2016, traz em resumo a garantia às crianças o direito de brincar; reforçar a importância do atendimento domiciliar, especialmente a crianças em situação de vulnerabilidade. Segundo o economista americano James Heckman, prêmio Nobel de Economia de 2000, programas pré-escolares dão um retorno sobre o investimento de 7% a 10% por ano. Isso acontece por dois motivos. De um lado, crianças que recebem estímulos apropriados durante a primeira fase da vida têm um desenvolvimento emocional e cognitivo mais saudável, que se reflete nas realizações na fase adulta (seus cálculos apontam que crianças que frequentaram creche de qualidade vão  receber salários, na média, 25% maiores). Crianças que frequentaram creche de qualidade e pré-escola,  têm mais chances de terminar o ensino médio, menos chances de ir para a cadeia e mais chances de cursar uma faculdade. Uma dessas pesquisas, do professor de sociologia Donald J. Hernandez, do Hunter College, em Nova York, dá as proporções, para a realidade dos Estados Unidos: a chance de um jovem terminar o ensino médio é quatro vezes maior se ele souber ler com fluência no terceiro ano do ensino fundamental; e a chance de saber ler com fluência no terceiro ano dobram se ele entrar na escola já preparado para aprender. Segundo Heckman, o retorno do investimento nas  crianças é tão maior quanto mais cedo se comece a dar  atenção a elas. O segundo motivo é a economia em gastos futuros. Crianças bem cuidadas têm menos chance de precisar frequentar programas de recuperação educacional, menos probabilidade de fazer escolhas que prejudicam sua saúde e levem a atividades criminosas. ",Familias com crianças de 0 a 6 anos,Cidadania,continuo,2024-01-01T00:00:00,,Finalístico,"No Estado de Rondônia,  segundo dados do Ministério da Saúde no ano de 2021 havia 196.148 crianças com idade de 0 a 6 anos de idade (DATASUS). Sendo que destas 45.943 crianças de 0 a 6 anos estão em  situação de extrema probreza, ou seja, com renda percapita de  até R$ 104,00 mensais ( Secretaria Nacional de Renda e Cidadania – SENARC, CECAD 2.0, Maio de 2023). 
A taxa de mortalidade infantil no Estado é 12,34 a cada mil nascidos vivos, estando acima da média nacional, sendo que desses óbitos 65,29% foram de causas evitáveis. 
A proteção a crianças de 0 a 6 anos,  obrigatóriamente tem  prioridade absoluta na formulação, execução e proposição de politicas públicas, por tratar-se de pessoa em desenvolvimento e com alto risco de vulnerabilidade.  O desenvovimento protegido e na idade certa, comprovadamente aumenta a formação de adultos com melhores níveis de escolaridade e com a redução da evasão escolar; com melhores chances de acesso ao  mercado de trabalho; com menores índices de desevolvimento de doenças;   e impacta na redução dos indicadores de probreza.
Na primeira infância ocorre o maior número de desenvolvimento de estruturas e circuitos cerebrais do que em qualquer época da vida, bem como, a aquisição de capacidades fundamentais que permitirão o aprimoramento de habilidades futuras e  mais complexas.
Por isso fortalecer a oferta de politicas publicas de forma articulada  e  integrada na primeira infancia, é um investimento no futuro. É proporcionar as crianças rondonienses oportunidades de ter um desenvolvimento saudável e adequado.  ",2024,1,Programa,2024,1
190,23013,Fundo Estadual dos Direitos da Criança e do Adolescente,FUNEDCA,1498,2115,FORTALECIMENTO DO SISTEMA DE GARANTIA DOS DIREITOS DA CRIANÇA E DO ADOLESCENTE, Fortalecimento dos direitos da criança e do adolescente. ,Crianças e adolescentes do Estado de Rondônia.,Cidadania,continuo,2024-01-01T00:00:00,,Finalístico,"Conforme preconizado na Constituição Federal, é dever da família, da sociedade e do Estado assegurar à criança e ao adolescente, com absoluta prioridade, o direito à vida, à saúde, à alimentação, à educação, ao lazer, à profissionalização, à cultura, à dignidade, ao respeito, à liberdade e à convivência familiar e comunitária.
Sob essa perspectiva, o fortalecimento do do Sistema de Garantia de Direitos (SGD) é de suma importância para assegurar a proteção e promoção dos direitos da Criança e do Adolescente. O SGD é composto pelos órgãos de Assistência Social, Saúde, Educação e Segurança Pública, bem como Conselhos de Direito, Conselhos Tutelares, Ministério Público, Poder Judiciário, Defensoria Pública e Sociedade Civil, dentre outros, todos com atuação direta em atenção às demandas das crianças e dos adolescentes, principalmente no âmbito dos direitos violados.
A Constituição Federal e o Estatuto da Criança e do Adolescente (ECA) estabelecem a prioridade absoluta na garantia dos direitos dessa faixa etária. Fortalecer o SGD reforça esse compromisso, assegurando que as políticas públicas sejam desenvolvidas com foco nas necessidades específicas de crianças e adolescentes.",2024,1,Programa,2024,1
191,23015,Fundo Estadual dos Direitos da Pessoa Idosa,FEDIPI,1499,2117,FORTALECIMENTO DA POLÍTICA ESTADUAL DOS DIREITOS DA PESSOA IDOSA,Fortalecimento dos direitos da pessoa idosa.,População idosa do Estado de Rondônia,Cidadania,continuo,2024-01-01T00:00:00,,Finalístico,"O Brasil tem, atualmente, aproximadamente 215 (duzentos e quinze) milhões de habitantes, e deste montante 33 (trinta e três) estão acima dos 60 anos, ou seja, pessoas idosas, com projeção contínua e crescente para os próximos anos; o que segundo o Instituto Brasileiro de Geografia e Estatística (IBGE)  e a Organização das Nações Unidas, validados pela Secretaria Nacional dos Direitos da Pessoa Idosa (SNDPI), torna cada vez mais urgente a formatação de políticas públicas que deem atenção ao envelhecimento da população com qualidade de vida — uma das forma de combater o etarismo (ou idadismo), que é o preconceito contra pessoas que ultrapassaram certa faixa de idade.

Ainda que pese o disposto na Constituição Federal de 1988, com destaque ao Artigo 230, onde:
    
Art 230.A família, a sociedade e o Estado têm o dever de amparar as pessoas idosas, assegurando sua participação na comunidade, defendendo sua dignidade e bem-estar e garantindo-lhes o direito à vida.

O amparo citado não tem sido efetivo, visto que mais de 87% das situações de violência contra a pessoa idosa ocorrem dentro de sua própria casa, dados que têm aumentado segundo os  registros do Disk 100 (canal oficial para denúncias), do ano de 2022 para 2023, com referências de todo o território nacional. 

A partir dos dados acima elencados, o programa em tela subsidiará eventos que promovam a articulação intersetorial, com vistas a assegurar os direitos humanos e a cidadania da pessoa idosa; através de políticas públicas voltadas a prevenção e a mitigação das situações de violação, com base no Estatuto da Pessoa Idosa, Lei 10.741/2003, para garantia dos direitos fundamentais e sociais dos indivíduos.",2024,1,Programa,2024,1
192,23016,Fundo Estadual dos Direitos da Mulher,FUNEDM,1521,2116,FORTALECIMENTO DA POLÍTICA ESTADUAL DOS DIREITOS DA MULHER,"Manter, fortalecer e ampliar a execução de políticas públicas de direitos das mulheres no Estado de Rondônia, de forma a diminuir ou mitigar violação de direitos.",População feminina do Estado de Rondônia,Cidadania,continuo,2024-01-01T00:00:00,,Finalístico,"A Constituição Cidadã de 1988 buscou potencializar os direitos fundamentais da pessoa, incluindo a plena cidadania feminina, mas ainda assim a violência contra a mulher constitui uma das principais formas de violação dos direitos humanos. Trata-se de um problema social e histórico que ganhou visibilidade na contemporaneidade, cuja prática de violência passa a ser considerada crime com a promulgação da Lei Maria da Penha.
A Lei Maria da Penha (Lei 11.340/20006) também trouxe mecanismos para coibir e prevenir a violência doméstica e familiar, bem como estabeleceu medidas de proteção e assistência às mulheres em situação de violência doméstica e familiar. 
O Tribunal de Justiça de Rondônia registrou a concessão de 3.936 medidas protetivas de urgência em 2019, 5.444 medidas em 2020, 5.603 medidas em 2021, e no primeiro trimestre de 2022, 4.503 medidas protetivas de urgência foram concedidas às mulheres vítimas de violência doméstica e familiar. Além disso, a Secretaria de Estado da Segurança, Defesa e Cidadania (SESDEC) apresentou dados estatísticos referente aos registros de ocorrências policiais de crimes de ameaça, injúria, calúnia, difamação, lesão corporal relacionados à violência doméstica e familiar contra mulheres, sendo 3.411 no ano de 2021 e 3.536 em 2022; e de registros de feminicídio consumado no ano de 2022 teve um aumento de  28% em relação ao ano de 2021; já o de registros de feminicídio tentado o aumento foi alarmante, 12 ocorrências em 2022, o dobro em relação ao no de 2021. 
Necessário se faz propiciar suporte financeiro para manutenção e desenvolvimento de políticas públicas dos Direitos da Mulher, que visam  fortalecer e apoiar os Municípios na execução de suas ações de políticas públicas para mulheres possam realizar assistência, prevenção e proteção dos direitos das mulheres, bem como diminuir ou mitigar violação de direitos deste público alvo.",2024,1,Programa,2024,1
193,23030,Fundação Estadual de Atendimento Socioeducativo,Fease,1494,1015,GESTÃO ADMINISTRATIVA DO PODER EXECUTIVO,Gestão Administrativa do Poder Executivo,Unidades orçamentárias do Poder Executivo,Cidadania,continuo,2024-01-01T00:00:00,,Gestão Manutenção e Serviço,"Desenvolvimento de atividades meios para o bom desempenho das funções operacionais fins das Unidades para as quais foram criadas por Lei, visando eficiência e eficácia das Políticas Públicas no âmbito do Poder Executivo no Estado de Rondônia.",2024,1,Programa,2024,1
194,23030,Fundação Estadual de Atendimento Socioeducativo,Fease,1495,0000,OPERAÇÕES ESPECIAIS,"Realizar o Pagamento de Dívidas, Indenizações e Sentenças Judiciais.",Servidores que  atuam no sistema Socioeducativo,Cidadania,continuo,2024-01-01T00:00:00,,Operação Especial,"Garantia do pagamento de RPV ou outros, decorrentes de Decisões Judiciais, de modo a assegurar a administração pública efetivo e eficiente cumprimento.",2024,1,Programa,2024,1
195,23030,Fundação Estadual de Atendimento Socioeducativo,Fease,1496,2006,PROGRAMA ESTADUAL DE ATENDIMENTO SOCIOEDUCATIVO,"O programa se constitui em instrumento de alinhamento das normas previstas no ECA - Lei 8.069/90 e na Lei do SINASE (Sistema Nacional de atendimento Socioeducativo  Lei 12.594, de janeiro de 2012, com a execução das ações de atendimento socioeducativo no Estado de Rondônia.","Adolescentes em cumprimento de medida de internação provisória, internação sentenciada e semiliberdade.",Cidadania,continuo,2024-01-01T00:00:00,,Finalístico,Desenvolver o atendimento socioeducativo desde o início da inserção do adolescente junto ao sistema até o cumprimento da medida socioeducativa (Internação e Semiliberdade) estando diretamente relacionado ao ECA e ao que preconiza o SINASE.,2024,1,Programa,2024,1
196,23030,Fundação Estadual de Atendimento Socioeducativo,Fease,1497,2164,APRIMORAMENTO DA ESTRUTURA FÍSICA DAS UNIDADES SOCIOEDUCATIVAS,Assegurar a ampliação e Construção de Unidades Socioeducativas,servidores que atuam no sistema socioeducativo e adolescentes em cumprimento de medidas socioeducativas,Cidadania,continuo,2024-01-01T00:00:00,,Finalístico,"Realizar o aprimoramento das estruturas físicas das Unidades Socioeducativas, bem como, construção de Centros Socioeducativos, possibilitando um atendimento mais humanizado e salubre aos adolescente e servidores.",2024,1,Programa,2024,1
197,27001,Secretaria de Estado de Obras e Serviços Públicos ,Seosp,1571,1015,GESTÃO ADMINISTRATIVA DO PODER EXECUTIVO,Gestão Administrativa do Poder Executivo da Secretaria de Estado de Obras e Serviços Públicos - SEOSP/RO.,"Servidores, Escritórios da SEOSP/RO e Parceiros.",Gestão Estratégica,continuo,2024-01-01T00:00:00,,Gestão Manutenção e Serviço,"Oferecer recursos para aquisição de bens e serviços que gerem condições de modernizações dos recursos de execução dos escritórios da SEOSP/RO, para o desenvolvimento das funções estratégicas, táticas e operacionais, para a qual a Secretaria foi criada por Lei, visando promover a eficiência, eficácia e efetividade das políticas públicas do Poder executivo, inclusive no atendimento as parcerias com os poderes Legislativo, Judiciários e órgãos de controle.",2024,1,Programa,2024,1
198,27001,Secretaria de Estado de Obras e Serviços Públicos ,Seosp,1592,2130,PROGRAMA DE ACELERAÇÃO DO CRESCIMENTO - PAC,Programa de Aceleração do Crescimento - PAC,População do Estado de Rondônia,Desenvolvimento Econômico,temporário,2024-01-01T00:00:00,2027-12-01T00:00:00,Finalístico,"O PAC é regido pelo Manual de Instruções para Contratação e Execução dos Programas e Ações do Ministério das Cidades (Divulgado pela Portaria nº 164, de 12 de abril de 2013, publicada no DOU nº 71, de 15 de abril de 2013, Seção 1, pág. 101 e com as alterações introduzidas pelas Portarias nºs 270, de 13 de junho de 2013, publicada no DOU nº 113, de 14 de junho de 2013, Seção 1, pág. 47; 280, de 25 de junho de 2013, publicada no DOU nº 121, de 26 de junho de 2013, Seção 1, pág. 70; 287, de 28 de junho de 2013, publicada no DOU nº 124, de 1º de julho de 2013, Seção 1, pág. 57; 349, de 26 de julho de 2013, publicada no DOU nº 144, de 29 de julho de 2013, Seção 1, pág. 176; 444, de 26 de setembro de 2013, publicada no DOU nº 189, de 30 de setembro de 2013, Seção 1, págs. 84 e 85; 13, de 14 de janeiro de 2014, publicada no DOU nº 10, de 15 de janeiro de 2014, Seção 1, págs. 43 e 44; 43, de 28 de janeiro de 2014, publicada no DOU nº 21, de 30 de janeiro de 2014, Seção 1, pág. 93; 685, de 24 de outubro de 2014, publicada no DOU nº 207, de 27 de outubro de 2014, Seção 1, pág. 53; e 686, de 24 de outubro de 2014, publicada no DOU nº 207, de 27 de outubro de 2014, Seção 1, pág. 53.). A região Norte é a que apresenta os índices mais preocupantes, onde apenas 54,5% da população tem acesso ao abastecimento de água, 7,8% à coleta dos esgotos e apenas 14% de todo volume de esgoto gerado é tratado (SNIS, 2014). Rondônia é um típico caso da grande deficiência em saneamento básico na Região Norte. E foi inserido no programa do Governo Estadual, com o objetivo de melhorar as condições de saneamento básico em Rondônia. Para aumentar a cobertura de abastecimento de água tratada, de coleta e tratamento de esgoto, e de coleta e destinação adequada de resíduos sólidos. Os investimentos do PAC são disponibilizados aos municípios de Jaru, Ji-Paraná, Porto Velho e União bandeirantes, pelo grupo sob a coordenação do Ministério das Cidades, tendo como interveniente a CAIXA. Haja vista o estado encontra-se com um baixo índice de saneamento em todos os seus municípios, o PAC tem como objetivo, trazer uma melhor qualidade de vida a população. Pois a falta de condições adequadas de saneamento podem contribuir para a proliferação de inúmeras doenças parasitárias e infecciosas além da degradação do corpo da água. A disposição adequada dos esgotos é essencial para a proteção da saúde pública.",2024,1,Programa,2024,1
199,27001,Secretaria de Estado de Obras e Serviços Públicos ,Seosp,1610,2183,DESENVOLVIMENTO DA INFRAESTRUTURA URBANA,"A infraestrutura urbana e todo o conjunto de serviços básicos em uma cidade como telefone, água, gás, luz, transporte público em geral (aeroportos, portos, rodovias, ferrovias) e rede de esgoto - sistemas indispensáveis ao bem-estar e qualidade de vida da população.
Dessa forma, considerando as especificidades dos 52 municípios rondonienses, julga-se de extrema relevância a alocação de recursos orçamentários para a promoção do desenvolvimento urbano; ",População do Estado de Rondônia,Desenvolvimento Econômico,continuo,2024-01-01T00:00:00,,Finalístico,"Considerando o fortalecimento das ações municipalistas, bem como reforço da parceria para o desenvolvimento dos municípios o Governo do Estado de Rondônia busca promover a promoção do da infraestrutura urbana dos municípios. ",2024,1,Programa,2024,1
200,29001,Ministério Público,MP,1403,1280,PROGRAMA DE GESTÃO E MANUTENÇÃO DO MINISTÉRIO PÚBLICO DE RONDÔNIA,Programa de Gestão e Manutenção do Ministério Público do Estado de Rondônia,Ministério Público do Estado de Rondônia,Gestão Estratégica,continuo,2024-01-01T00:00:00,,Gestão Manutenção e Serviço,"Em razão da constante ampliação da atuação do Ministério Público Estadual para atender as demandas oriundas da sociedade, sobretudo, sua intervenção na defesa dos interesses coletivos e direitos dos cidadãos de Rondônia, faz-se necessário manter, ampliar e modernizar a infraestrutura e adquirir bens e serviços para instrumentalizar as áreas meio e fim, utilizando para isso as unidades orçamentárias  29001  e 29012.",2024,1,Programa,2024,1
201,29001,Ministério Público,MP,1404,1019,PREVIDÊNCIA SOCIAL ESTATUTÁRIA,"Promover e assegurar os benefícios previstos aos membros e servidores aposentados, seus pensionistas e dependentes",Ministério Público do Estado de Rondônia,Gestão Estratégica,continuo,2024-01-01T00:00:00,,Gestão Manutenção e Serviço,"Assegurar aos membros e servidores públicos do Ministério Público do Estado e a seus dependentes legais pagamento de valor estabelecido em lei, quando da aposentadoria ou do óbito, proporcionando, assim, a certeza da manutenção das condições financeiras da família.",2024,1,Programa,2024,1
202,29001,Ministério Público,MP,1560,1001,MP TRANSFORMANDO A SOCIEDADE,"Cumprir a missão de defender a ordem jurídica e o regime democrático, transformando a realidade social, tendo como diretrizes os macros-objetivos da perspectiva Sociedade definidos no Mapa estratégico e Plano Geral de Atuação do Ministério Público do Estado de Rondônia.",População do Estado de Rondônia,Gestão Estratégica,continuo,2024-01-01T00:00:00,,Finalístico,"O alcance da missão e da visão institucional ensejam a tutela dos interesses difusos e coletivos da sociedade. Neste contexto, como desdobramento tático da estratégia pode-se distinguir as áreas temáticas de atuação finalísticas, que representam os desafios da instituição e o compromisso desta com os cidadãos, quais sejam: Defender os direitos de crianças e adolescentes; Proteger o meio ambiente; Combater a criminalidade; Promover a ressocialização de reeducandos; Defender a probidade na gestão pública; Garantir atendimento de saúde de qualidade; Proporcionar acesso a educação de qualidade; Assegurar os direitos do cidadão; Promover o aperfeiçoamento do regime
democrático.",2024,1,Programa,2024,1
203,29012,Fundo de Desenvolvimento Institucional do Ministério Público de Rondônia,FUNDIMPER,1563,1280,PROGRAMA DE GESTÃO E MANUTENÇÃO DO MINISTÉRIO PÚBLICO DE RONDÔNIA,Programa de Gestão e Manutenção do Ministério Público do Estado de Rondônia,Ministério Público do Estado de Rondônia,Gestão Estratégica,continuo,2024-01-01T00:00:00,,Gestão Manutenção e Serviço,"Em razão da constante ampliação da atuação do Ministério Público Estadual para atender as demandas oriundas da sociedade, sobretudo, sua intervenção na defesa dos interesses coletivos e direitos dos cidadãos de Rondônia, faz-se necessário manter, ampliar e modernizar a infraestrutura e adquirir bens e serviços para instrumentalizar as áreas meio e fim, utilizando para isso as unidades orçamentárias 29001 e 29012.",2024,1,Programa,2024,1
204,29013,Fundo de Reconstituição de Bens Lesados,FRBL,1562,1001,MP TRANSFORMANDO A SOCIEDADE,"Cumprir a missão de defender a ordem jurídica e o regime democrático, transformando a realidade social, tendo como diretrizes os macro-objetivos da perspectiva Sociedade definidos no Mapa estratégico e Plano Geral de Atuação do Ministério Público do Estado de Rondônia.",População do Estado de Rondônia,Gestão Estratégica,continuo,2024-01-01T00:00:00,,Finalístico,"O alcance da missão e da visão institucional ensejam a tutela dos interesses difusos e coletivos da sociedade. Neste contexto, como desdobramento tático da estratégia pode-se distinguir as áreas temáticas de atuação finalísticas, que representam os desafios da instituição e o compromisso desta com os cidadãos, quais sejam: Defender os direitos de crianças e adolescentes; Proteger o meio ambiente; Combater a criminalidade; Promover a ressocialização de reeducandos; Defender a probidade na gestão pública; Garantir atendimento de saúde de qualidade; Proporcionar acesso a educação de qualidade; Assegurar os direitos do cidadão; Promover o aperfeiçoamento do regime democrático.",2024,1,Programa,2024,1
205,30001,Defensoria Pública do Estado de Rondonia,DPE,1551,1007,GESTÃO DE PESSOAS NA DPE/RO,Gestão de Pessoas na DPE/RO.,Público interno da Defensoria Pública,Gestão Estratégica,continuo,2024-01-01T00:00:00,,Gestão Manutenção e Serviço,"O programa se justifica pela necessidade de gestão das pessoas que trabalham na Defensoria Pública, por meio do pagamento de remuneração, benefícios e encargos, atração e retenção de talentos, melhoria das condições de trabalho e estabelecimento de boas práticas, tendo em vista o pleno funcionamento do órgão, para o cumprimento de sua missão de forma efetiva.",2024,1,Programa,2024,1
206,30001,Defensoria Pública do Estado de Rondonia,DPE,1552,2043,GESTÃO E MANUTENÇÃO DA DPE/RO,Gestão e Manutenção da DPE/RO,Público interno e externo da Defensoria Pública,Gestão Estratégica,continuo,2024-01-01T00:00:00,,Gestão Manutenção e Serviço,"O programa se justifica pela necessidade de gestão e manutenção das unidades e atividades da Defensoria Pública, por meio da realização de aquisições e contratações de bens e serviços estratégicos, administrativos, tecnológicos ou operacionais, tendo em vista o pleno funcionamento do órgão, para o cumprimento de sua missão de forma efetiva.",2024,1,Programa,2024,1
207,30001,Defensoria Pública do Estado de Rondonia,DPE,1554,2145,ASSISTÊNCIA JURÍDICA INTEGRAL E GRATUITA AOS VULNERÁVEIS,Assistência Jurídica Integral e Gratuita aos Vulneráveis.,Público externo da Defensoria Pública,Gestão Estratégica,continuo,2024-01-01T00:00:00,,Finalístico,"O programa se justifica pela necessidade de aperfeiçoamento da área finalística da Defensoria Pública, tendo em vista o cumprimento de seu dever constitucional de prestar assistência jurídica integral e gratuita aos vulneráveis, garantindo-lhes o acesso à justiça e concretizando direitos individuais e coletivos.",2024,1,Programa,2024,1
208,30011,Fundo Especial da Defensoria Pública do Estado de Rondônia,FUNDEP,1411,1008,FORTALECIMENTO E APRIMORAMENTO CULTURAL DO QUADRO FUNCIONAL DA DPE/RO,Fortalecimento e aprimoramento cultural do quadro funcional da DPE/RO,Público interno da Defensoria Pública,Gestão Estratégica,continuo,2024-01-01T00:00:00,,Gestão Manutenção e Serviço,"O programa se justifica pela necessidade de fortalecimento do quadro funcional da Defensoria Pública, associado ao aprimoramento cultural daqueles que trabalham no órgão, tendo em vista a garantia de uma atuação eficiente por meio de pessoas qualificadas.",2024,1,Programa,2024,1
209,30011,Fundo Especial da Defensoria Pública do Estado de Rondônia,FUNDEP,1412,1009,ESTRUTURAÇÃO E MODERNIZAÇÃO DA DPE/RO,Estruturação e modernização da DPE/RO,Público interno e externo da Defensoria Pública,Gestão Estratégica,continuo,2024-01-01T00:00:00,,Gestão Manutenção e Serviço,"O programa se justifica pela necessidade de estruturação, aparelhamento, manutenção, modernização e aprimoramento da comunicação na Defensoria Pública, tendo em vista o pleno funcionamento das unidades e atividades do órgão, para o cumprimento de sua missão de forma efetiva.",2024,1,Programa,2024,1
210,31001,Secretaria de Estado de Patrimônio e Regularização Fundiária,Sepat,1540,2159,GESTÃO DO PATRIMÔNIO MOBILIÁRIO,"Coordenar, normatizar, controlar, monitorar e fiscalizar o Patrimônio Mobiliário da Administração Pública Estadual.",Administração Pública Estadual,Gestão Estratégica,continuo,2023-08-01T00:00:00,,Finalístico,"A Secretaria de Estado de Patrimônio, como órgão central, visa padronizar a gestão do patrimônio mobiliário, coordenando, controlando, normatizando e fiscalizando os bens móveis do Estado.",2024,1,Programa,2024,1
